sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
6811E,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Oak Toc Oct. Lighted,Showcase Oak Toc Oct. Lighted,,0,1,Taxable Goods,"Catalog, Search",771.94,,,,showcase-oak-toc-oct.-lighted-6811E,,,,/6811E_base.jpg,Showcase Oak Toc Oct. Lighted base image,/6811E_base.jpg,Showcase Oak Toc Oct. Lighted small image,/6811E_base.jpg,Showcase Oak Toc Oct. Lighted thumbnail,,,,,,,,1,0,1,base,0,0
6811H,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Oak Toc Hexagon,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,316.25,1,Taxable Goods,"Catalog, Search",728.2,,,,showcase-oak-toc-hexagon-6811H,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811H_base.jpg,Showcase Oak Toc Hexagon base image,/6811H_base.jpg,Showcase Oak Toc Hexagon small image,/6811H_base.jpg,Showcase Oak Toc Hexagon thumbnail,,,,,,,,1,0,1,base,0,0
6811HL,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Oak Hexagon Lighted,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,316.25,1,Taxable Goods,"Catalog, Search",919.72,,,,showcase-oak-hexagon-lighted-6811HL,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811HL_base.jpg,Showcase Oak Hexagon Lighted base image,/6811HL_base.jpg,Showcase Oak Hexagon Lighted small image,/6811HL_base.jpg,Showcase Oak Hexagon Lighted thumbnail,,,,,,,,1,0,1,base,0,0
6811L,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Toc Octagon W/Light,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,316.25,1,Taxable Goods,"Catalog, Search",953.3,,,,showcase-toc-octagon-wlight-6811L,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811L_base.jpg,Showcase Toc Octagon W/Light base image,/6811L_base.jpg,Showcase Toc Octagon W/Light small image,/6811L_base.jpg,Showcase Toc Octagon W/Light thumbnail,,,,,,,,1,0,1,base,0,0
6811M,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Toc Modified,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,632.5,1,Taxable Goods,"Catalog, Search",767.2,,,,showcase-toc-modified-6811M,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811M_base.jpg,Showcase Toc Modified base image,/6811M_base.jpg,Showcase Toc Modified small image,/6811M_base.jpg,Showcase Toc Modified thumbnail,,,,,,,,1,0,1,base,0,0
6811ML,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Toc Modified Lighted,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,632.5,1,Taxable Goods,"Catalog, Search",888.25,,,,showcase-toc-modified-lighted-6811ML,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811ML_base.jpg,Showcase Toc Modified Lighted base image,/6811ML_base.jpg,Showcase Toc Modified Lighted small image,/6811ML_base.jpg,Showcase Toc Modified Lighted thumbnail,,,,,,,,1,0,1,base,0,0
6811PML,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Pine Tall Oct.mod.w/L,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,632.5,1,Taxable Goods,"Catalog, Search",789.72,,,,showcase-pine-tall-oct.mod.wl-6811PML,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811PML_base.jpg,Showcase Pine Tall Oct.mod.w/L base image,/6811PML_base.jpg,Showcase Pine Tall Oct.mod.w/L small image,/6811PML_base.jpg,Showcase Pine Tall Oct.mod.w/L thumbnail,,,,,,,,1,0,1,base,0,0
6811S,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Oak Toc Square,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,316.25,1,Taxable Goods,"Catalog, Search",767.2,,,,showcase-oak-toc-square-6811S,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811S_base.jpg,Showcase Oak Toc Square base image,/6811S_base.jpg,Showcase Oak Toc Square small image,/6811S_base.jpg,Showcase Oak Toc Square thumbnail,,,,,,,,1,0,1,base,0,0
6811SFL,,Default,simple,Default Category/Display Cases/Place Holder,Showcs Sq TOC Classic FV Style,Showcs Sq TOC Classic FV Style,,0,1,Taxable Goods,"Catalog, Search",858.09,,,,showcs-sq-toc-classic-fv-style-6811SFL,,,,/6811SFL_base.jpg,Showcs Sq TOC Classic FV Style base image,/6811SFL_base.jpg,Showcs Sq TOC Classic FV Style small image,/6811SFL_base.jpg,Showcs Sq TOC Classic FV Style thumbnail,,,,,,,,1,0,1,base,0,0
6811SL,,Default,simple,Default Category/Display Cases/Place Holder,Showcase Toc Square Lighted,"<div><font face=""Verdana, Helvetica""><font size=2>Classic Tower Displays are wonderful for showcasing your merchandise in such a way to attract your customers.&nbsp;Though pricing is listed for Oak, you can&nbsp;order this display case in many types of wood including Cherry, Walnut, Alder, Pine, and Maple. Please call <font color=#000000>1-800-426-5708</font> if you do not see what you are looking for or have any questions. We are happy to help.<br></font><br><font size=2>All models include </font><font size=2>unless noted otherwise:&nbsp;Tempered glass doors,&nbsp;Adjustable tempered glass shelves,&nbsp;Original Versions include 17"" locking storage and 3 tempered glass shelves,&nbsp;VML Versions include 4 tempered glass shelves, crown molding&nbsp;and no storage,&nbsp;Lighted cases include 1 Full Spectrum Halogen light (you may sub LEd LIghts for $38.00 per light)&nbsp;<br></font></font><font color=#ff0000 face=""Verdana, Helvetica""><font size=2>FOB - Bend, OR&nbsp; Unless noted ALL cases will ship VIA LTL Common Carrier. A crating charge will be added to all cases being shipped. You will be notified of the freight amount and the crating charges. <br><font color=#000000>Image to the right (left to right) -&nbsp;6811L, 6811SL, 6811HL.</font></font></font></div>",Classic Tower Displays,316.25,1,Taxable Goods,"Catalog, Search",888.25,,,,showcase-toc-square-lighted-6811SL,"Display Cases with Storage - Octagon, Hexagon and Rectangle Wood and Glass Display Cases",display cases octagon hexagon rectangle lighted display case halogen locking glass shelves wood glass displays storage cabinet,"Wood and glass display cases with storage in octagon, hexagon, and rectangle shapes, display cases feature locking doors, glass shelves and optional halogen lighting.",/6811SL_base.jpg,Showcase Toc Square Lighted base image,/6811SL_base.jpg,Showcase Toc Square Lighted small image,/6811SL_base.jpg,Showcase Toc Square Lighted thumbnail,,,,,,,,1,0,1,base,0,0
